127.0.0.1, 2015-07-02 20:18:08, GET, /, HTTP/1.1, 303, 0.003053
127.0.0.1, 2015-07-02 20:18:08, GET, /welcome/default/index, HTTP/1.1, 200, 0.122388
127.0.0.1, 2015-07-02 20:18:08, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001314
127.0.0.1, 2015-07-02 20:18:08, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001735
127.0.0.1, 2015-07-02 20:18:08, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002011
127.0.0.1, 2015-07-02 20:18:08, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.001411
127.0.0.1, 2015-07-02 20:18:08, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000849
127.0.0.1, 2015-07-02 20:18:08, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001616
127.0.0.1, 2015-07-02 20:18:08, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000343
127.0.0.1, 2015-07-02 20:18:08, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000900
127.0.0.1, 2015-07-02 20:18:08, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000605
127.0.0.1, 2015-07-02 20:18:08, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000962
127.0.0.1, 2015-07-02 20:18:08, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000515
127.0.0.1, 2015-07-02 20:18:08, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000724
127.0.0.1, 2015-07-02 20:18:08, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000341
127.0.0.1, 2015-07-02 20:18:09, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000819
127.0.0.1, 2015-07-02 20:18:09, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000702
127.0.0.1, 2015-07-02 20:18:09, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000411
127.0.0.1, 2015-07-02 20:18:09, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000314
127.0.0.1, 2015-07-02 20:18:19, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.016122
127.0.0.1, 2015-07-02 20:18:22, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.015796
